6835,	48.475684,	-67.440168,	Ancien dépot pétrolier no 51204,	394  route 132 Ouest
Amqui ,	La Matapédia&nbsp;,	Benzo(a)pyrène,	Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50,	R : Non terminée
6904,	48.4683138889,	-67.4387722222,	Ancien dépôt pétrolier Ultramar - Amqui,	120  rue Proulx
Amqui ,	La Matapédia&nbsp;,	&nbsp;,	Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50, Xylènes (o,m,p),	R : Terminée en 2005Q : Plage B-C
101,	48.464743,	-67.430634,	Caisse Populaire Desjardins d'Amqui,	15  rue du Pont
Amqui ,	La Matapédia&nbsp;,	&nbsp;,	Hydrocarbures pétroliers C10 à C50,	R : Terminée en 1993Q : &lt;= A
33,	48.468297,	-67.431993,	Collège d'Amqui,	92  rue Desbiens
Amqui ,	La Matapédia&nbsp;,	&nbsp;,	Hydrocarbures pétroliers C10 à C50,	R : Terminée en 1995Q : Plage B-C
168,	48.459996,	-67.4342,	Jacques Couturier,	66  rue du Parc
Amqui ,	La Matapédia&nbsp;,	&nbsp;,	Hydrocarbures pétroliers C10 à C50,	R : Terminée en 2000Q : Plage A-B
82,	48.455492,	-67.417739,	La Compagnie Distributrice du St-Laurent (1996) ltée,	199  route 132 Est
Amqui ,	La Matapédia&nbsp;,	&nbsp;,	Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),	R : Terminée en 1997Q : Plage A-B
22,	48.475684,	-67.440168,	Les Pétroles Irving inc.,	394  route 132 Ouest
Amqui ,	La Matapédia&nbsp;,	&nbsp;,	Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),	R : Terminée en 1997Q : Plage A-B
149,	48.471131,	-67.440392,	Pétrolière Impériale,	339  route 195 Nord
Amqui ,	La Matapédia&nbsp;,	&nbsp;,	Hydrocarbures pétroliers C10 à C50,	R : Terminée en 1998Q : Plage B-C
6035,	48.460769,	-67.438898,	Polyvalente Armand Saint-Onge,	95  rue du Parc
Amqui ,	La Matapédia&nbsp;,	&nbsp;,	Hydrocarbures pétroliers C10 à C50,	R : Terminée en 2003Q : Plage A-B
9052,	48.453028,	-67.409031,	Poste de distribution d'essence Telus,	310  route 132 Est
Amqui ,	La Matapédia&nbsp;,	Baryum (Ba), Benzène, Cuivre (Cu), Éthylbenzène, Manganèse (Mn), Nickel (Ni), Plomb (Pb), Xylènes (o,m,p),	&nbsp;,	R : Non nécessaireQ : Non précisée (2)
102,	48.463818,	-67.432094,	Société Canadienne des Postes,	10  rue du Parc
Amqui ,	La Matapédia&nbsp;,	&nbsp;,	Hydrocarbures pétroliers C10 à C50,	R : Terminée en 1994Q : Plage A-B
134,	48.4655002,	-67.427586,	Station-service Pétro-Canada,	9  boulevard Saint-Benoît Ouest
Amqui ,	La Matapédia&nbsp;,	&nbsp;,	Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),	R : Terminée en 2002Q : &lt;= A
174,	48.46813,	-67.437932,	Ville Amqui,	Route 132
Amqui ,	La Matapédia&nbsp;,	&nbsp;,	Hydrocarbures pétroliers C10 à C50,	R : Terminée en 1999Q : &lt;= A
181,	47.955689,	-69.434682,	La Compagnie Distributrice du Saint-Laurent (1996) ltée,	525  route 132
Cacouna ,	Rivière-du-Loup&nbsp;,	&nbsp;,	Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),	R : Terminée en 2000Q : > C
81,	47.956026,	-69.435414,	La Compagnie Distributrice du St-Laurent (1996) ltée,	520  route 132
Cacouna ,	Rivière-du-Loup&nbsp;,	&nbsp;,	Hydrocarbures pétroliers C10 à C50,	R : Terminée en 1998Q : Plage B-C
6044,	47.54218,	-69.481611,	Ministère des Transports - Cacouna,	101  route de l'Église
Cacouna ,	Rivière-du-Loup&nbsp;,	&nbsp;,	Hydrocarbures pétroliers C10 à C50,	R : Terminée en 2002Q : > C
8564,	48.364843,	-67.233648,	Ancienne station-service Irving no 11050 - Causapscal,	344  rue Saint-Jacques Nord
Causapscal ,	La Matapédia&nbsp;,	&nbsp;,	Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50, Xylènes (o,m,p),	R : Non terminée
140,	48.375815,	-67.246375,	Municipalité Saint-Jacques-le-Majeur-de-Causapscal,	675  route 132 Ouest
Causapscal ,	La Matapédia&nbsp;,	&nbsp;,	Hydrocarbures pétroliers C10 à C50,	R : Terminée en 1997Q : Plage A-B
8179,	48.3633138889,	-67.2312666667,	Petro-Canada no 16133,	301  rue Saint-Jacques Nord
Causapscal ,	La Matapédia&nbsp;,	Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),	Éthylbenzène, Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),	R : Non terminée
8954,	47.541096,	-68.625192,	3153185 Canada inc. - Usinage industriel Dégelis,	11  rue Industrielle
Dégelis ,	Témiscouata&nbsp;,	&nbsp;,	Hydrocarbures pétroliers C10 à C50,	R : Non nécessaireQ : Non précisée (2)
